Unnamed: 0,Username,Link,Text,Human,Date
,ridone_337,https://www.tiktok.com/@ridone_337,saya beli parfum side effect saking enak nya di pake pengharum kamar,Positif,2024-02-25
,dagosputrabenawas,https://www.tiktok.com/@dagosputrabenawas,tahan nya dua hari saya sudah beli ka maka nya saya berani bilang gitu,Negatif,2024-02-25
,athar_alenxi,https://www.tiktok.com/@athar_alenxi,aku tinggal nunggu dominant semoga cocok soal nya baru coba,Positif,2024-02-25
,gustut85,https://www.tiktok.com/@gustut85,"yakin ga wangi nya tahan dua belas jam,kalau gak berani kasih Garansi gak?",Negatif,2024-02-25
,jodohmu2959,https://www.tiktok.com/@jodohmu2959,pernah make punya temen. Emang enak banget harum nya aku yang lumayan bau badan langsung wangi seketika,Positif,2024-02-25
,njr1301,https://www.tiktok.com/@njr1301,aku udah pernah beli yang proplayer wangi nya ga tahan lama cuma tiga sampai empat jam,Negatif,2024-02-25
,ujokpranata,https://www.tiktok.com/@ujokpranata,jelek kualitas nya kalau pake baju putih bernoda pake parfum ini,Negatif,2024-02-25
,ajrebellica543,https://www.tiktok.com/@ajrebellica543,Wangi nya biasa aja sih sebenar nya,Positif,2024-02-25
,muhammadyasirsira,https://www.tiktok.com/@muhammadyasirsira,kalau saya ka saya bandingkan wangi parfum dominant sama parfum baccarat hampir sama persis,Positif,2024-02-25
,gohan_181,https://www.tiktok.com/@gohan_181,yang asli gak nih ka,Netral,2024-02-25
