Unnamed: 0,Username,Link,Text,Human,Date
,ridone_337,https://www.tiktok.com/@ridone_337,saya beli parfum side effect saking enak nya di pake pengharum kamar,Positif,2024-02-25
,dagosputrabenawas,https://www.tiktok.com/@dagosputrabenawas,tahan nya dua hari saya sudah beli ka maka nya saya berani bilang gitu,Negatif,2024-02-25
,athar_alenxi,https://www.tiktok.com/@athar_alenxi,aku tinggal nunggu dominant semoga cocok soal nya baru coba,Positif,2024-02-25
,gustut85,https://www.tiktok.com/@gustut85,"yakin ga wangi nya tahan dua belas jam,kalau gak berani kasih Garansi gak?",Negatif,2024-02-25
,jodohmu2959,https://www.tiktok.com/@jodohmu2959,pernah make punya temen. Emang enak banget harum nya aku yang lumayan bau badan langsung wangi seketika,Positif,2024-02-25
,njr1301,https://www.tiktok.com/@njr1301,aku udah pernah beli yang proplayer wangi nya ga tahan lama cuma tiga sampai empat jam,Negatif,2024-02-25
,ujokpranata,https://www.tiktok.com/@ujokpranata,jelek kualitas nya kalau pake baju putih bernoda pake parfum ini,Negatif,2024-02-25
,ajrebellica543,https://www.tiktok.com/@ajrebellica543,Wangi nya biasa aja sih sebenar nya,Positif,2024-02-25
,muhammadyasirsira,https://www.tiktok.com/@muhammadyasirsira,kalau saya ka saya bandingkan wangi parfum dominant sama parfum baccarat hampir sama persis,Positif,2024-02-25
,gohan_181,https://www.tiktok.com/@gohan_181,yang asli gak nih ka,Netral,2024-02-25
,bhimzueb,https://www.tiktok.com/@bhimzueb,kakak nya juga lebih tahan lama di hati aku,Positif,2024-02-24
,hilmiganteng935,https://www.tiktok.com/@hilmiganteng935,kak yang bisa menenarik cewek pake parfum apa kak hrny atau dominant,Netral,2024-02-24
,bhalink22_,https://www.tiktok.com/@bhalink22_,"percobaan pertama yang tiga puluh lima mili dulu,mana pas banget bentar lagi puasa",Negatif,2024-02-24
,lennoelfriets,https://www.tiktok.com/@lennoelfriets,Parah kalau di semprot ke baju putih jadi kuning ,Negatif,2024-02-24
,ekvannata,https://www.tiktok.com/@ekvannata,berapa harga nya? ,Negatif,2024-02-24
,scorpioboy669,https://www.tiktok.com/@scorpioboy669,pake alkohol ga?,Netral,2024-02-24
,mnc_petshop,https://www.tiktok.com/@mnc_petshop,gak jadi beli karena model nya jelek,Negatif,2024-02-24
,bhmasprojeck,https://www.tiktok.com/@bhmasprojeck,coba botol nya di upgrade ka kaya dominant kan beda dari yang lain,Positif,2024-02-24
,sokko_bolong17,https://www.tiktok.com/@sokko_bolong17,yah baru mau beli malah abis stok nya,Negatif,2024-02-24
,sokko_bolong17,https://www.tiktok.com/@sokko_bolong17,perbedaan dominant sama pro player apa yah ka,Positif,2024-02-24
,rayx_3003,https://www.tiktok.com/@rayx_3003,"mantap banget, sangat work it dengan harga segitu",Positif,2024-02-24
,mimin.mintuntilun,https://www.tiktok.com/@mimin.mintuntilun,pengemasan nya buruk banget ga ada pengaman botol nya sama sekali,Negatif,2024-02-24
,khaleed.store,https://www.tiktok.com/@khaleed.store,mantap wangi nya scentplus,Positif,2024-02-24
,keilyyypubgm,https://www.tiktok.com/@keilyyypubgm,cocok buat cewek gak?,Negatif,2024-02-24
,gemoystoreofficial.id,https://www.tiktok.com/@gemoystoreofficial.id,"dua sampai tiga jam ilang wangi nya, paling lama lima jam",Negatif,2024-02-24
,nathan15085,https://www.tiktok.com/@nathan15085,yah baru mau beli yang  seratus mili malah kosong,Negatif,2024-02-24
,coleh70,https://www.tiktok.com/@coleh70,ini untuk kulit atau khusus pakaian?,Negatif,2024-02-23
,achad_08,https://www.tiktok.com/@achad_08,"buat ketahanan nya tidak sesuai dengan deskripsi, setiap dua jam sekali harus semprot",Negatif,2024-02-23
,adminsurgawii,https://www.tiktok.com/@adminsurgawii,iya dari wangi nya sesuai sama deskripsi,Positif,2024-02-23
,mas.ardys,https://www.tiktok.com/@mas.ardys,Strong dan bold banget asli mr crush black,Positif,2024-02-23
,bangjo_1928,https://www.tiktok.com/@bangjo_1928,"botol retak, padahal di bubble wrap satu per satu",Negatif,2024-02-23
,husnulkarim_,https://www.tiktok.com/@husnulkarim_,tahan berapa jam?,Negatif,2024-02-23
,sutik63,https://www.tiktok.com/@sutik63,buat cowok wangi soft kerja outdoor tahan lama apa ka,Positif,2024-02-23
,fikrimalik1,https://www.tiktok.com/@fikrimalik1,aku beli di tokopedia langsung cepet ilang wangi nya,Negatif,2024-02-23
,pangerantersesat1,https://www.tiktok.com/@pangerantersesat1,Bahan botol nya tidak berkualitas tinggi dan mudah rusak,Negatif,2024-02-23
,nama_nya_bagus,https://www.tiktok.com/@nama_nya_bagus,itu berapa ka?,Netral,2024-02-23
,pelautpurapura27,https://www.tiktok.com/@pelautpurapura27,yah aku beli yang palsu ka,Negatif,2024-02-23
,obengmin03,https://www.tiktok.com/@obengmin03,kemarin beli segel rusak,Negatif,2024-02-23
,idthebest,https://www.tiktok.com/@idthebest,"kemaren beli salah toko, jadi dapet yang palsu",Negatif,2024-02-23
,lumra18,https://www.tiktok.com/@lumra18,belum percaya aku kalau ada parfum tahan nya dua belas jam,Negatif,2024-02-22
,bonev.fac66,https://www.tiktok.com/@bonev.fac66,"aku mau tanya,scentplus yang di lazada itu,asli scentplus ?",Positif,2024-02-22
,atang_mr,https://www.tiktok.com/@atang_mr,yah kalau yang asli mungkin. iklan yang asli di kirim yang palsu,Negatif,2024-02-22
,pujokipszz,https://www.tiktok.com/@pujokipszz,cek harga ka,Netral,2024-02-22
,owner_szihuka,https://www.tiktok.com/@owner_szihuka,wangi nya mirip sama minyak wangi Casablanca,Positif,2024-02-22
,konco5067,https://www.tiktok.com/@konco5067,Yah ga bisa beli karena masih belum ada dominant tiga puluh lima mili,Negatif,2024-02-22
,pecintaalam298,https://www.tiktok.com/@pecintaalam298,aku beli di sini wangi nya cuma tahan satu jam,Negatif,2024-02-22
,ariees_2403,https://www.tiktok.com/@ariees_2403,Botol parfum dominant memiliki desain yang mewah,Positif,2024-02-22
,aturanakmuiya,https://www.tiktok.com/@aturanakmuiya,untuk ketahanan dominant kalah telak lawan hrny premium dan side effect,Positif,2024-02-22
,raihangalih,https://www.tiktok.com/@raihangalih,yang seratus mili dong,Negatif,2024-02-22
,teponkae,https://www.tiktok.com/@teponkae,"Jujur untuk aroma, saya suka banget sama yang dominant",Positif,2024-02-22
,aarohman_13,https://www.tiktok.com/@aarohman_13,rekomendasi varian yang mana ka,Netral,2024-02-22
,ridho.roman.syah,https://www.tiktok.com/@ridho.roman.syah,kak parfum dominant itu buat di luar ruangan atau di dalam ruangan kak?,Netral,2024-02-22
,viaamanda28,https://www.tiktok.com/@viaamanda28,aku udah beli tapi lebih enak side effect kak kalau dominan kurang sih menurut aku,Positif,2024-02-21
,stefanly16,https://www.tiktok.com/@stefanly16,ini asli gak ka aku udah beli beberapa kali di online tapi hasil nya tetap mengecewakan,Negatif,2024-02-21
,bosmaphack,https://www.tiktok.com/@bosmaphack,"aku pake itu malah sakit kepala,terlalu kuat aroma nya",Negatif,2024-02-21
,bangsaman_32,https://www.tiktok.com/@bangsaman_32,mahal banget harga nya,Negatif,2024-02-21
,daengmusji,https://www.tiktok.com/@daengmusji,pengiriman ke jakarta berapa lama ka,Netral,2024-02-21
,selatan_nkri,https://www.tiktok.com/@selatan_nkri,"aku beli di sini kata nya official resmi, ternyata wangi nya emang gak tahan lama paling lama satu jam",Negatif,2024-02-21
,hibernationnn,https://www.tiktok.com/@hibernationnn,tiga sampai empat jam doang ini taha nnya. Extrait itu cuma gimmick. Masa side effect sama dominant lebih tahan lama side effect,Negatif,2024-02-21
,pesawat_kertas0,https://www.tiktok.com/@pesawat_kertas0,"kalau di aplikasi oren apa nama toko nya ka,tolong di jawab ka",Netral,2024-02-21
,yeremia.yusuf.pra,https://www.tiktok.com/@yeremia.yusuf.pra,yang ukuran tiga puluh lima mili kosong ya kak,Negatif,2024-02-21
